FID,Length (m),Travel time (minute),Speed (m/hr)
154,825.922,1.239,40000
155,2526.080,3.789,40000
156,0.083,0.000,60000
157,861.017,0.861,60000
158,1017.200,1.017,60000
159,811.197,0.811,60000
160,1011.400,1.011,60000
161,59.658,0.060,60000
162,1692.320,1.692,60000
163,992.888,1.489,40000
164,834.923,0.835,60000
165,562.185,0.562,60000
166,1789.670,1.790,60000
167,2302.340,3.454,40000
168,2532.700,3.799,40000
169,5716.980,5.717,60000
170,2483.270,3.725,40000
171,139.999,0.140,60000
172,1637.170,2.456,40000
173,1598.620,1.599,60000
174,1969.300,1.969,60000
175,925.040,0.925,60000
176,972.727,0.973,60000
177,89.957,0.090,60000
178,99.827,0.100,60000
179,1026.860,1.027,60000
180,16.330,0.016,60000
181,2104.150,3.156,40000
182,2751.500,4.127,40000
183,2162.710,2.163,60000
184,4611.440,6.917,40000
185,225.808,0.339,40000
186,81.902,0.123,40000
187,115.121,0.173,40000
188,109.572,0.164,40000
189,71.638,0.107,40000
190,3507.160,3.507,60000
191,1110.240,1.110,60000
192,102.683,0.103,60000
193,160.479,0.241,40000
194,160.401,0.241,40000
195,109.718,0.165,40000
196,158.595,0.238,40000
197,67.670,0.102,40000
198,211.681,0.318,40000
199,50.972,0.076,40000
200,127.760,0.192,40000
201,52.375,0.079,40000
202,108.816,0.163,40000
203,52.671,0.079,40000
204,203.383,0.305,40000
205,113.172,0.170,40000
206,64.934,0.097,40000
207,63.423,0.095,40000
208,111.653,0.167,40000
209,97.471,0.146,40000
210,81.210,0.122,40000
211,60.874,0.091,40000
212,114.121,0.171,40000
213,51.521,0.077,40000
214,104.433,0.157,40000
215,57.084,0.086,40000
216,63.430,0.095,40000
217,55.813,0.084,40000
218,5049.040,5.049,60000
219,101.718,0.153,40000
220,102.364,0.154,40000
221,78.459,0.118,40000
222,96.425,0.145,40000
223,117.111,0.176,40000
224,2376.160,2.376,60000
225,996.016,1.494,40000
226,114.430,0.172,40000
227,37.266,0.056,40000
228,81.231,0.122,40000
229,117.393,0.176,40000
230,76.974,0.115,40000
231,121.760,0.183,40000
232,5268.490,5.268,60000
233,2489.900,2.490,60000
234,69.012,0.069,60000
235,2984.720,4.477,40000
236,91.347,0.137,40000
237,17.476,0.026,40000
238,33.945,0.051,40000
239,93.786,0.141,40000
240,23.841,0.036,40000
241,127.228,0.191,40000
242,48.066,0.072,40000
243,94.985,0.142,40000
244,38.081,0.057,40000
245,95.407,0.143,40000
246,32.302,0.048,40000
247,1910.500,1.911,60000
248,98.550,0.148,40000
249,101.587,0.152,40000
250,39.910,0.060,40000
251,102.666,0.154,40000
252,106.917,0.160,40000
253,28.539,0.043,40000
254,71.619,0.107,40000
255,113.818,0.171,40000
256,36.531,0.055,40000
257,26.791,0.040,40000
258,66.167,0.099,40000
259,37.436,0.056,40000
260,104.491,0.157,40000
261,57.763,0.087,40000
262,1262.280,1.893,40000
263,2723.970,2.724,60000
264,54.825,0.082,40000
265,69.006,0.104,40000
266,90.523,0.136,40000
267,1252.400,1.252,60000
268,47.353,0.071,40000
269,790.690,1.186,40000
270,247.932,0.372,40000
271,1626.180,2.439,40000
272,2109.850,2.110,60000
273,125.383,0.188,40000
274,141.073,0.212,40000
275,125.890,0.189,40000
276,172.476,0.259,40000
277,102.015,0.153,40000
278,85.252,0.128,40000
279,182.403,0.274,40000
280,69.704,0.105,40000
281,122.716,0.123,60000
282,296.124,0.296,60000
283,2654.710,2.655,60000
284,86.584,0.130,40000
285,939.603,0.940,60000
286,88.512,0.133,40000
287,71.843,0.072,60000
288,59.454,0.059,60000
289,2265.970,2.266,60000
290,1355.450,1.355,60000
291,216.005,0.324,40000
292,413.515,0.414,60000
293,2354.860,2.355,60000
294,1638.120,2.457,40000
295,1345.160,1.345,60000
296,114.795,0.172,40000
297,115.899,0.116,60000
298,559.294,0.839,40000
299,112.656,0.169,40000
300,3461.620,3.462,60000
301,1547.940,1.548,60000
302,373.339,0.560,40000
303,227.042,0.341,40000
304,341.217,0.512,40000
305,155.863,0.234,40000
306,229.256,0.344,40000
307,113.411,0.170,40000
308,1741.580,1.742,60000
309,332.144,0.332,60000
310,228.251,0.342,40000
311,982.485,0.982,60000
312,5217.480,7.826,40000
313,2077.800,2.078,60000
314,91.857,0.092,60000
315,1335.220,2.003,40000
316,195.995,0.196,60000
317,1071.270,1.071,60000
318,59.429,0.059,60000
319,1198.550,1.798,40000
320,2312.540,2.313,60000
321,2764.300,2.764,60000
322,2356.930,2.357,60000
323,1241.260,1.862,40000
324,205.615,0.206,60000
325,2569.790,3.855,40000
326,2665.590,3.998,40000
327,1697.300,2.546,40000
328,1518.500,1.519,60000
329,3552.750,3.553,60000
330,1766.900,2.650,40000
331,4920.140,4.920,60000
332,7154.010,7.154,60000
333,104.146,0.156,40000
334,1019.420,1.019,60000
335,1716.180,2.574,40000
336,1819.760,1.820,60000
337,3279.830,3.280,60000
338,1930.790,1.931,60000
339,1372.840,2.059,40000
340,3885.830,3.886,60000
341,1160.560,1.741,40000
342,1749.530,2.624,40000
