FID,Start Time,End Time,Object,MAX_Speed,AVG_Speed,Distance,Shift,X,Y
139,13/04/2022,13/04/2022,1687,72,34,1.010,Afternoon,32.936397,13.114245
140,13/04/2022,13/04/2022,1687,74,34,1.010,Afternoon,32.950817,13.145762
141,14/04/2022,14/04/2022,1687,72,32,1.020,Night,32.926547,13.096453
142,14/04/2022,14/04/2022,1687,72,28,0.910,Night,32.964372,13.188958
143,14/04/2022,14/04/2022,1687,75,49,3.020,Night,32.940950,13.099652
144,14/04/2022,14/04/2022,1687,73,46,2.020,Morning,32.927378,13.093912
145,14/04/2022,14/04/2022,1687,72,31,1.000,Morning,32.961695,13.124562
146,14/04/2022,14/04/2022,1687,71,44,2.030,Morning,32.958932,13.115867
147,14/04/2022,14/04/2022,1687,71,33,1.020,Night,32.959287,13.120368
148,15/04/2022,15/04/2022,1687,72,52,0.160,Night,32.980705,13.207302
149,,16/04/2022,1687,71,23,0.740,Night,32.936683,13.082703
150,17/04/2022,17/04/2022,1687,71,26,0.870,Afternoon,32.938778,13.084098
151,19/04/2022,19/04/2022,1687,73,35,1.010,Morning,32.952722,13.106570
152,21/04/2022,21/04/2022,1687,74,48,2.890,Night,32.946068,13.100712
153,21/04/2022,21/04/2022,1687,73,34,1.020,Night,32.969878,13.138510
154,05/04/2022,05/04/2022,1690,73,34,1.010,Night,32.927113,13.095243
155,05/04/2022,05/04/2022,1690,71,33,1.020,Night,32.936162,13.102618
156,05/04/2022,05/04/2022,1690,77,33,1.020,Night,32.952282,13.107275
157,05/04/2022,05/04/2022,1690,77,53,3.880,Afternoon,32.943968,13.100230
158,05/04/2022,05/04/2022,1690,72,25,0.760,Afternoon,32.982658,13.141015
159,05/04/2022,05/04/2022,1690,71,24,0.800,Afternoon,33.012788,13.157485
160,05/04/2022,05/04/2022,1690,77,35,1.010,Afternoon,33.048955,13.173415
161,05/04/2022,05/04/2022,1690,74,44,2.030,Afternoon,33.037992,13.181138
162,05/04/2022,05/04/2022,1690,73,46,2.010,Afternoon,32.958855,13.115665
163,05/04/2022,05/04/2022,1690,73,27,0.910,Afternoon,32.940740,13.096527
164,05/04/2022,05/04/2022,1690,77,24,0.820,Afternoon,32.937637,13.083062
165,05/04/2022,05/04/2022,1690,77,46,2.020,Afternoon,32.949478,13.103313
166,05/04/2022,05/04/2022,1690,77,45,2.020,Afternoon,32.968303,13.134045
167,05/04/2022,05/04/2022,1690,77,35,1.020,Night,32.989327,13.143668
168,05/04/2022,05/04/2022,1690,71,31,1.010,Night,33.047935,13.172797
169,06/04/2022,06/04/2022,1690,77,40,1.800,Afternoon,32.941850,13.069595
170,06/04/2022,06/04/2022,1690,77,37,1.580,Afternoon,32.975608,13.084352
171,06/04/2022,06/04/2022,1690,76,34,1.010,Afternoon,32.986182,13.069423
172,06/04/2022,06/04/2022,1690,71,34,1.020,Afternoon,33.020390,13.065068
173,06/04/2022,06/04/2022,1690,74,32,1.010,Afternoon,33.038633,13.068530
174,06/04/2022,06/04/2022,1690,71,28,0.940,Afternoon,33.112430,13.086740
175,08/04/2022,08/04/2022,1690,75,32,1.000,Morning,33.025908,13.131592
176,08/04/2022,08/04/2022,1690,73,32,1.010,Morning,32.968635,13.135113
177,08/04/2022,08/04/2022,1690,72,34,1.020,Morning,32.959052,13.119545
178,08/04/2022,08/04/2022,1690,73,34,1.010,Morning,32.950390,13.104282
179,08/04/2022,08/04/2022,1690,77,49,2.990,Night,32.940348,13.097665
180,09/04/2022,09/04/2022,1690,76,48,2.020,Morning,32.928498,13.087145
181,09/04/2022,09/04/2022,1690,73,21,0.670,Morning,32.927937,13.088552
182,09/04/2022,09/04/2022,1690,77,55,3.900,Afternoon,32.943707,13.100268
183,09/04/2022,09/04/2022,1690,76,35,1.010,Afternoon,32.969118,13.136068
184,09/04/2022,09/04/2022,1690,76,43,2.030,Afternoon,32.991645,13.144700
185,10/04/2022,10/04/2022,1690,76,41,1.920,Night,32.942218,13.069670
186,10/04/2022,10/04/2022,1690,77,20,0.610,Night,32.975635,13.084055
187,10/04/2022,10/04/2022,1690,73,34,1.000,Night,32.987687,13.069452
188,10/04/2022,10/04/2022,1690,72,19,0.620,Night,33.055433,13.036800
189,10/04/2022,10/04/2022,1690,75,30,0.980,Afternoon,32.948925,13.102810
190,10/04/2022,10/04/2022,1690,74,42,1.970,Night,32.927753,13.089307
191,11/04/2022,11/04/2022,1690,76,28,0.920,Morning,32.939107,13.084597
192,11/04/2022,11/04/2022,1690,76,34,1.010,Morning,32.951183,13.105022
193,11/04/2022,11/04/2022,1690,75,33,1.010,Afternoon,32.926270,13.097028
194,11/04/2022,11/04/2022,1690,72,35,1.020,Afternoon,32.950643,13.144402
195,12/04/2022,12/04/2022,1690,76,23,0.780,Morning,32.937042,13.082840
196,12/04/2022,12/04/2022,1690,76,42,2.010,Morning,32.941085,13.099782
197,12/04/2022,12/04/2022,1690,71,26,0.880,Morning,32.940887,13.096222
198,12/04/2022,12/04/2022,1690,76,43,2.020,Morning,32.928492,13.087093
199,12/04/2022,12/04/2022,1690,76,45,1.970,Morning,32.927252,13.111155
200,12/04/2022,12/04/2022,1690,77,54,4.720,Morning,32.952818,13.120420
201,12/04/2022,12/04/2022,1690,75,43,1.980,Afternoon,32.947610,13.101532
202,12/04/2022,12/04/2022,1690,71,33,1.010,Afternoon,32.974282,13.127050
203,12/04/2022,12/04/2022,1690,74,32,1.020,Afternoon,32.995845,13.134505
204,12/04/2022,12/04/2022,1690,76,44,2.030,Afternoon,33.019948,13.128562
205,12/04/2022,12/04/2022,1690,71,33,1.020,Afternoon,33.045523,13.138442
206,13/04/2022,13/04/2022,1690,73,33,1.020,Night,32.951482,13.075205
207,13/04/2022,13/04/2022,1690,76,34,1.010,Morning,33.002075,13.081048
208,13/04/2022,13/04/2022,1690,71,32,1.010,Afternoon,32.926417,13.096832
209,15/04/2022,15/04/2022,1690,74,31,1.000,Night,32.927473,13.092203
210,18/04/2022,18/04/2022,1690,73,32,1.020,Night,32.953313,13.107060
211,18/04/2022,18/04/2022,1690,75,31,1.010,Night,32.959858,13.121545
212,18/04/2022,18/04/2022,1690,71,28,0.930,Night,32.996237,13.146810
213,19/04/2022,19/04/2022,1690,76,43,2.030,Night,32.994948,13.147100
214,19/04/2022,19/04/2022,1690,73,32,1.020,Night,32.952648,13.106462
215,19/04/2022,19/04/2022,1690,76,57,4.060,Night,33.054395,13.176557
216,19/04/2022,19/04/2022,1690,75,26,0.880,Morning,32.940937,13.096358
217,19/04/2022,19/04/2022,1690,71,29,0.920,Afternoon,33.043867,13.170532
218,19/04/2022,19/04/2022,1690,76,21,0.700,Night,32.936090,13.082590
219,19/04/2022,19/04/2022,1690,75,29,0.990,Night,32.940318,13.098063
220,19/04/2022,19/04/2022,1690,74,21,0.710,Night,32.941438,13.094258
221,20/04/2022,20/04/2022,1690,76,33,1.000,Night,32.969950,13.138582
222,20/04/2022,20/04/2022,1690,76,46,2.030,Night,33.062740,13.181347
223,20/04/2022,20/04/2022,1690,74,35,1.020,Morning,33.035505,13.179025
224,20/04/2022,20/04/2022,1690,74,19,0.640,Night,32.935465,13.082597
225,20/04/2022,20/04/2022,1690,77,60,6.030,Night,32.948042,13.101978
226,20/04/2022,20/04/2022,1690,72,36,1.010,Night,32.989497,13.143813
227,21/04/2022,21/04/2022,1690,76,37,1.010,Night,32.989705,13.144855
