FID,Start Time,End Time,Object,MAX_Speed,AVG_Speed,Distance,Shift,X,Y
114,09/04/2022,09/04/2022,1692,74,35,1.010,Afternoon,32.995732,13.146653
115,09/04/2022,09/04/2022,1692,76,36,1.020,Afternoon,33.052725,13.175670
116,09/04/2022,09/04/2022,1692,76,33,1.010,Afternoon,33.068427,13.185512
117,10/04/2022,10/04/2022,1692,75,30,0.990,Afternoon,32.942233,13.100330
118,10/04/2022,10/04/2022,1692,76,46,2.030,Afternoon,32.958075,13.112235
119,10/04/2022,10/04/2022,1692,74,33,1.010,Afternoon,32.969227,13.136542
120,10/04/2022,10/04/2022,1692,71,31,1.000,Afternoon,32.990392,13.144220
121,10/04/2022,10/04/2022,1692,74,43,2.010,Afternoon,33.056013,13.177543
122,11/04/2022,11/04/2022,1692,77,42,1.870,Afternoon,32.946207,13.100693
123,11/04/2022,11/04/2022,1692,77,53,3.910,Afternoon,32.946237,13.100675
124,11/04/2022,11/04/2022,1692,77,33,1.010,Afternoon,32.969368,13.137053
125,11/04/2022,11/04/2022,1692,77,45,2.710,Afternoon,32.983547,13.141057
126,12/04/2022,12/04/2022,1692,73,27,0.910,Afternoon,32.939257,13.084763
127,12/04/2022,12/04/2022,1692,77,48,2.030,Afternoon,32.947035,13.070252
128,12/04/2022,12/04/2022,1692,75,27,0.870,Afternoon,32.984098,13.069303
129,12/04/2022,12/04/2022,1692,72,32,1.020,Afternoon,33.019582,13.064755
130,12/04/2022,12/04/2022,1692,77,44,2.020,Afternoon,33.047652,13.028725
131,14/04/2022,14/04/2022,1692,76,30,1.250,Afternoon,32.928410,13.087207
132,14/04/2022,14/04/2022,1692,76,48,1.920,Afternoon,32.925733,13.109298
133,14/04/2022,14/04/2022,1692,74,31,1.010,Afternoon,32.952173,13.171997
134,14/04/2022,14/04/2022,1692,74,39,1.860,Afternoon,32.970167,13.139310
135,14/04/2022,14/04/2022,1692,76,36,1.010,Afternoon,32.958880,13.115020
136,14/04/2022,14/04/2022,1692,75,26,0.880,Afternoon,32.941150,13.095660
137,14/04/2022,14/04/2022,1692,77,46,2.020,Afternoon,32.927643,13.089830
138,14/04/2022,14/04/2022,1692,74,31,1.010,Afternoon,32.930647,13.112220
139,14/04/2022,14/04/2022,1692,73,28,0.950,Afternoon,32.950362,13.166995
140,15/04/2022,15/04/2022,1692,73,20,0.650,Afternoon,32.936242,13.082650
141,15/04/2022,15/04/2022,1692,77,32,1.010,Afternoon,32.954402,13.108157
142,15/04/2022,15/04/2022,1692,77,52,3.030,Afternoon,32.960595,13.122703
143,16/04/2022,16/04/2022,1692,72,23,0.780,Afternoon,32.941257,13.095573
144,18/04/2022,18/04/2022,1692,77,57,5.860,Afternoon,32.889622,13.112697
145,18/04/2022,18/04/2022,1692,77,24,0.800,Afternoon,32.941402,13.069512
146,18/04/2022,18/04/2022,1692,75,36,1.010,Afternoon,32.943983,13.069888
147,19/04/2022,19/04/2022,1692,74,17,0.570,Afternoon,32.939138,13.069315
148,05/04/2022,05/04/2022,1694,71,28,0.930,Afternoon,32.944243,13.069910
149,05/04/2022,05/04/2022,1694,74,44,2.020,Afternoon,32.960933,13.076695
150,05/04/2022,05/04/2022,1694,76,30,1.000,Afternoon,32.976220,13.078305
151,05/04/2022,05/04/2022,1694,71,30,0.920,Afternoon,32.985452,13.069368
152,05/04/2022,05/04/2022,1694,73,46,2.010,Afternoon,33.094585,13.077933
153,05/04/2022,05/04/2022,1694,71,14,0.450,Afternoon,32.938040,13.069278
154,05/04/2022,05/04/2022,1694,77,51,2.960,Afternoon,32.950457,13.073770
155,05/04/2022,05/04/2022,1694,77,25,0.770,Afternoon,32.975768,13.082437
156,05/04/2022,05/04/2022,1694,77,37,1.650,Afternoon,32.981033,13.069603
157,05/04/2022,05/04/2022,1694,72,32,1.020,Afternoon,33.120040,13.130958
158,05/04/2022,05/04/2022,1694,76,55,3.030,Afternoon,33.084462,13.138050
159,05/04/2022,05/04/2022,1694,73,32,1.010,Afternoon,33.042625,13.119908
160,05/04/2022,05/04/2022,1694,74,35,1.010,Afternoon,33.007437,13.115932
161,05/04/2022,05/04/2022,1694,77,51,3.030,Afternoon,32.981888,13.116018
162,05/04/2022,05/04/2022,1694,76,34,1.010,Afternoon,32.949150,13.103063
163,06/04/2022,06/04/2022,1696,77,51,2.030,Afternoon,32.960422,13.122353
164,06/04/2022,06/04/2022,1696,78,34,1.010,Afternoon,32.981897,13.141048
165,06/04/2022,06/04/2022,1696,76,35,1.020,Afternoon,33.022197,13.149082
166,06/04/2022,06/04/2022,1696,75,26,0.820,Afternoon,33.022238,13.149082
167,07/04/2022,07/04/2022,1694,71,31,1.010,Afternoon,32.968298,13.134345
168,07/04/2022,07/04/2022,1694,72,32,1.000,Afternoon,32.958912,13.118820
169,07/04/2022,07/04/2022,1694,73,20,0.640,Afternoon,32.934568,13.082518
170,07/04/2022,07/04/2022,1694,77,61,7.070,Afternoon,32.940393,13.098587
171,07/04/2022,07/04/2022,1694,76,51,3.030,Afternoon,32.958817,13.114292
172,10/04/2022,10/04/2022,1694,74,32,1.010,Afternoon,32.955527,13.109265
173,11/04/2022,11/04/2022,1694,77,50,3.030,Afternoon,32.940518,13.097348
174,14/04/2022,14/04/2022,1694,75,36,1.010,Afternoon,32.951020,13.104807
175,14/04/2022,14/04/2022,1694,76,36,1.010,Afternoon,32.959303,13.120260
176,14/04/2022,14/04/2022,1694,77,33,1.020,Afternoon,32.968930,13.135848
177,14/04/2022,14/04/2022,1694,71,33,1.010,Afternoon,32.951493,13.105330
178,14/04/2022,14/04/2022,1694,72,28,0.930,Afternoon,32.943292,13.069765
179,14/04/2022,14/04/2022,1694,77,35,1.010,Afternoon,32.968088,13.081568
180,14/04/2022,14/04/2022,1694,77,25,0.780,Afternoon,32.975822,13.082493
181,14/04/2022,14/04/2022,1694,72,30,0.950,Afternoon,32.986770,13.069428
182,15/04/2022,15/04/2022,1694,72,34,1.010,Afternoon,33.080895,13.194568
183,15/04/2022,15/04/2022,1694,76,33,1.020,Afternoon,32.987613,13.143980
184,16/04/2022,16/04/2022,1694,73,31,1.000,Afternoon,32.940345,13.098262
185,20/04/2022,20/04/2022,1694,76,33,1.020,Afternoon,32.951047,13.104837
186,20/04/2022,20/04/2022,1694,77,32,1.020,Afternoon,32.968948,13.135838
187,20/04/2022,20/04/2022,1694,76,33,1.000,Afternoon,32.989975,13.143935
188,20/04/2022,20/04/2022,1694,77,62,7.080,Afternoon,32.940388,13.097743
189,06/04/2022,06/04/2022,1696,77,51,2.030,Afternoon,32.958233,13.076278
190,06/04/2022,06/04/2022,1696,78,34,1.010,Afternoon,32.986677,13.069378
191,06/04/2022,06/04/2022,1696,76,35,1.020,Afternoon,33.093952,13.076788
192,06/04/2022,06/04/2022,1696,75,26,0.820,Afternoon,33.110932,13.088240
193,07/04/2022,07/04/2022,1696,74,32,1.010,Afternoon,32.973350,13.126160
194,07/04/2022,07/04/2022,1696,74,35,1.020,Afternoon,33.047232,13.139872
195,07/04/2022,07/04/2022,1696,77,45,2.020,Afternoon,32.927870,13.088540
196,08/04/2022,08/04/2022,1696,76,36,1.030,Afternoon,32.990523,13.144268
197,08/04/2022,08/04/2022,1696,79,41,1.900,Afternoon,32.973625,13.141525
198,08/04/2022,08/04/2022,1696,72,34,1.010,Afternoon,32.958880,13.117148
199,08/04/2022,08/04/2022,1696,76,45,1.900,Afternoon,32.948565,13.102407
200,08/04/2022,08/04/2022,1696,71,19,0.630,Afternoon,32.934420,13.082505
201,08/04/2022,08/04/2022,1696,77,52,3.040,Afternoon,32.940397,13.098557
202,08/04/2022,08/04/2022,1696,77,33,1.000,Afternoon,32.971645,13.113535
203,08/04/2022,08/04/2022,1696,77,46,2.000,Afternoon,32.998528,13.118988
204,08/04/2022,08/04/2022,1696,76,36,1.020,Afternoon,33.025987,13.116488
205,08/04/2022,08/04/2022,1696,76,44,2.030,Afternoon,33.044108,13.120310
206,10/04/2022,10/04/2022,1696,77,50,3.030,Afternoon,32.940473,13.098840
207,11/04/2022,11/04/2022,1696,77,61,6.070,Afternoon,32.948487,13.102440
208,11/04/2022,11/04/2022,1696,76,44,2.030,Afternoon,32.989977,13.144990
209,11/04/2022,11/04/2022,1696,73,36,1.000,Afternoon,33.009673,13.171213
210,11/04/2022,11/04/2022,1696,77,51,3.030,Afternoon,33.008637,13.185985
211,12/04/2022,12/04/2022,1696,76,35,1.010,Afternoon,32.948260,13.102200
212,12/04/2022,12/04/2022,1696,74,42,2.030,Afternoon,32.960807,13.115570
213,12/04/2022,12/04/2022,1696,77,44,2.020,Afternoon,33.019388,13.127860
214,14/04/2022,14/04/2022,1696,71,35,1.020,Afternoon,32.954973,13.108762
215,14/04/2022,14/04/2022,1696,77,47,2.020,Afternoon,32.928380,13.087387
216,14/04/2022,14/04/2022,1696,76,35,1.020,Afternoon,32.950723,13.145203
