Field ID,Object,Idling Location,Idling Date,Idling_End,Idle Duration (in minutes),Idle Duration (in hours),Driving Shift,X,Y,,,,
502,1694,"2.33 km from Sufayyah, Sudan (NW)",12/04/2022,12/04/2022 15:59,00:58:00,0.96666666700,Afternoon Shift,32.929283,13.070553,,,,
503,1694,--,12/04/2022,12/04/2022 18:32,00:26:00,0.43333333300,Afternoon Shift,33.051848,13.143357,,,,
504,1694,"2.35 km from Sufayyah, Sudan (NW)",12/04/2022,12/04/2022 22:37,00:54:00,0.90000000000,Afternoon Shift,32.929630,13.070832,,,,
505,1694,"2.54 km from Sufayyah, Sudan (NE)",12/04/2022,--,00:25:00,0.41666666700,Night Shift,32.933655,13.072798,,,,
506,1691,"7.93 km from Jabal Umm Jidyan, Sudan (SW)",12/04/2022,12/04/2022 00:22,00:22:00,0.36666666700,Night Shift,33.068657,13.185663,,,,
507,1691,"7.84 km from Jabal Umm Jidyan, Sudan (SW)",12/04/2022,12/04/2022 01:15,00:26:00,0.43333333300,Night Shift,33.069587,13.186142,,,,
508,1691,"2.34 km from Sufayyah, Sudan (NW)",12/04/2022,12/04/2022 04:34,01:40:00,1.66666666700,Night Shift,32.928650,13.070477,,,,
509,1691,"7.92 km from Jabal Umm Jidyan, Sudan (SW)",12/04/2022,12/04/2022 08:48,00:48:00,0.80000000000,Morning Shift,33.068622,13.185723,,,,
510,1691,"7.82 km from Jabal Umm Jidyan, Sudan (SW)",12/04/2022,12/04/2022 09:48,00:23:00,0.38333333300,Morning Shift,33.069397,13.186342,,,,
511,1691,"2.32 km from Sufayyah, Sudan (NW)",12/04/2022,12/04/2022 12:57,01:37:00,1.61666666700,Morning Shift,32.929402,13.070518,,,,
512,1691,"2.33 km from Sufayyah, Sudan (NW)",12/04/2022,12/04/2022 13:31,00:33:00,0.55000000000,Morning Shift,32.929433,13.070603,,,,
513,1691,"2.32 km from Sufayyah, Sudan (NW)",12/04/2022,12/04/2022 14:12,00:40:00,0.66666666700,Morning Shift,32.929428,13.070513,,,,
514,1691,"2.51 km from Sufayyah, Sudan (NW)",12/04/2022,12/04/2022 14:49,00:21:00,0.35000000000,Afternoon Shift,32.932435,13.072532,,,,
515,1691,"2.34 km from Sufayyah, Sudan (NW)",12/04/2022,12/04/2022 15:17,00:19:00,0.31666666700,Afternoon Shift,32.929578,13.070705,,,,
516,1691,"2.33 km from Sufayyah, Sudan (NW)",12/04/2022,12/04/2022 20:49,00:24:00,0.40000000000,Afternoon Shift,32.929763,13.070663,,,,
517,1691,"2.37 km from Sufayyah, Sudan (NW)",12/04/2022,12/04/2022 21:59,00:26:00,0.43333333300,Afternoon Shift,32.929267,13.070895,,,,
518,1691,--,12/04/2022,12/04/2022 23:17,00:25:00,0.41666666700,Night Shift,33.049800,13.141800,,,,
519,1691,--,12/04/2022,12/04/2022 23:55,00:26:00,0.43333333300,Night Shift,33.050223,13.142193,,,,
520,1683,"2.34 km from Sufayyah, Sudan (NW)",12/04/2022,12/04/2022 00:39,00:23:00,0.38333333300,Night Shift,32.929707,13.070715,,,,
521,1683,"2.34 km from Sufayyah, Sudan (NW)",12/04/2022,12/04/2022 06:09,00:21:00,0.35000000000,Night Shift,32.929588,13.070672,,,,
522,1683,"2.4 km from Sufayyah, Sudan (NW)",12/04/2022,12/04/2022 06:42,00:28:00,0.46666666700,Morning Shift,32.928933,13.071090,,,,
523,1683,"7.95 km from Jabal Umm Jidyan, Sudan (SW)",12/04/2022,12/04/2022 08:52,00:50:00,0.83333333300,Morning Shift,33.068332,13.185547,,,,
524,1683,"7.87 km from Jabal Umm Jidyan, Sudan (SW)",12/04/2022,12/04/2022 10:17,00:21:00,0.35000000000,Morning Shift,33.069442,13.185862,,,,
525,1683,"2.5 km from Sufayyah, Sudan (NW)",12/04/2022,12/04/2022 14:16,00:25:00,0.41666666700,Morning Shift,32.933063,13.072462,,,,
526,1683,"7.0 km from Sufayyah, Sudan (NE)",12/04/2022,12/04/2022 20:43,00:30:00,0.50000000000,Afternoon Shift,32.955853,13.108937,,,,
527,1683,"7.07 km from Sufayyah, Sudan (NE)",12/04/2022,12/04/2022 22:19,00:33:00,0.55000000000,Afternoon Shift,32.956393,13.109362,,,,
528,1683,"6.99 km from Sufayyah, Sudan (NE)",12/04/2022,12/04/2022 22:55,00:24:00,0.40000000000,Night Shift,32.955695,13.108845,,,,
529,1683,"6.98 km from Sufayyah, Sudan (NE)",12/04/2022,12/04/2022 23:50,00:54:00,0.90000000000,Night Shift,32.955755,13.108745,,,,
530,1690,"8.23 km from Jabal Buyut, Sudan (SE)",12/04/2022,12/04/2022 00:31,00:18:00,0.30000000000,Night Shift,32.988072,13.215453,,,,
531,1690,"8.18 km from Jabal Buyut, Sudan (SE)",12/04/2022,12/04/2022 00:55,00:22:00,0.36666666700,Night Shift,32.987733,13.215763,,,,
532,1690,"8.26 km from Jabal Buyut, Sudan (SE)",12/04/2022,12/04/2022 01:40,00:30:00,0.50000000000,Night Shift,32.988267,13.215298,,,,
533,1690,"2.82 km from Sufayyah, Sudan (NW)",12/04/2022,12/04/2022 03:43,00:16:00,0.26666666700,Night Shift,32.929648,13.075103,,,,
534,1690,--,12/04/2022,12/04/2022 04:42,00:19:00,0.31666666700,Night Shift,33.012093,13.142330,,,,
535,1690,"2.37 km from Sufayyah, Sudan (NW)",12/04/2022,12/04/2022 08:17,01:00:00,1.00000000000,Morning Shift,32.929250,13.070925,,,,
536,1690,--,12/04/2022,12/04/2022 11:17,00:20:00,0.33333333300,Morning Shift,32.963108,13.175293,,,,
537,1690,"2.67 km from Sufayyah, Sudan (NE)",12/04/2022,12/04/2022 13:03,00:45:00,0.75000000000,Morning Shift,32.933673,13.073958,,,,
538,1690,"2.67 km from Sufayyah, Sudan (NE)",12/04/2022,12/04/2022 16:06,03:02:00,3.03333333300,Morning Shift,32.933595,13.073977,,,,
539,1690,"2.36 km from Sufayyah, Sudan (NW)",12/04/2022,12/04/2022 17:09,00:36:00,0.60000000000,Afternoon Shift,32.929267,13.070798,,,,
540,1690,--,12/04/2022,12/04/2022 20:36,00:54:00,0.90000000000,Afternoon Shift,33.036347,13.123308,,,,
541,1690,"2.35 km from Sufayyah, Sudan (NW)",12/04/2022,12/04/2022 21:24,00:20:00,0.33333333300,Afternoon Shift,32.929743,13.070785,,,,
542,1690,"2.4 km from Sufayyah, Sudan (NW)",12/04/2022,12/04/2022 22:48,00:44:00,0.73333333300,Night Shift,32.928298,13.070952,,,,
