FID,Start Time,End Time,Object,MAX_Speed,AVG_Speed,Distance,Shift,X,Y
141,21/04/2022,21/04/2022,1691,72,34,1.020,Night,32.952125,13.105963
142,05/04/2022,05/04/2022,1692,76,32,1.020,Night,32.958913,13.117637
143,06/04/2022,06/04/2022,1692,76,24,0.810,Night,32.941318,13.095452
144,06/04/2022,06/04/2022,1692,76,33,1.020,Night,32.957383,13.111067
145,06/04/2022,06/04/2022,1692,77,31,1.010,Night,32.998712,13.147915
146,06/04/2022,06/04/2022,1692,71,33,1.010,Night,32.991538,13.145655
147,06/04/2022,06/04/2022,1692,72,30,0.940,Night,32.958932,13.118845
148,06/04/2022,06/04/2022,1692,71,26,0.850,Night,32.939645,13.086058
149,06/04/2022,06/04/2022,1692,76,52,3.920,Night,32.943897,13.100243
150,07/04/2022,07/04/2022,1692,76,31,0.960,Night,32.927650,13.089902
151,08/04/2022,08/04/2022,1692,75,32,1.010,Night,33.138287,13.088182
152,09/04/2022,09/04/2022,1692,71,44,2.020,Night,32.967860,13.121332
153,09/04/2022,09/04/2022,1692,71,32,1.000,Night,32.996432,13.134512
154,09/04/2022,09/04/2022,1692,73,44,2.010,Night,33.020105,13.128823
155,10/04/2022,10/04/2022,1692,77,57,4.040,Night,32.940380,13.097562
156,10/04/2022,10/04/2022,1692,76,46,2.030,Night,32.967757,13.132760
157,10/04/2022,10/04/2022,1692,76,51,3.890,Night,33.026265,13.169157
158,11/04/2022,11/04/2022,1692,76,46,2.020,Night,32.960170,13.122075
159,12/04/2022,12/04/2022,1692,77,59,6.070,Night,32.948707,13.102662
160,12/04/2022,12/04/2022,1692,74,44,2.020,Night,32.989692,13.143893
161,12/04/2022,12/04/2022,1692,73,31,1.010,Night,33.013137,13.157765
162,12/04/2022,12/04/2022,1692,75,33,1.010,Night,33.049362,13.173670
163,13/04/2022,13/04/2022,1692,77,43,2.000,Night,33.040288,13.135435
164,13/04/2022,13/04/2022,1692,71,36,1.020,Night,32.927225,13.093912
165,13/04/2022,13/04/2022,1692,77,48,2.030,Night,32.935047,13.112947
166,13/04/2022,13/04/2022,1692,73,37,1.020,Night,32.950397,13.143138
167,14/04/2022,14/04/2022,1692,77,41,1.930,Night,32.927673,13.089303
168,14/04/2022,14/04/2022,1692,75,42,1.990,Night,32.931623,13.112387
169,14/04/2022,14/04/2022,1692,77,34,1.010,Night,32.968285,13.134277
170,14/04/2022,14/04/2022,1692,73,47,2.020,Night,32.958925,13.118522
171,15/04/2022,15/04/2022,1692,77,21,0.700,Night,32.936710,13.082767
172,15/04/2022,15/04/2022,1692,75,27,0.880,Night,32.940583,13.096902
173,15/04/2022,15/04/2022,1692,74,31,0.770,Night,32.941395,13.094780
174,16/04/2022,16/04/2022,1692,77,29,0.950,Night,32.938992,13.084300
175,16/04/2022,16/04/2022,1692,76,30,0.990,Night,32.939375,13.085227
176,16/04/2022,16/04/2022,1692,77,20,0.660,Night,32.941885,13.069598
177,17/04/2022,17/04/2022,1692,77,30,1.000,Night,32.940358,13.098145
178,18/04/2022,18/04/2022,1692,76,28,0.930,Night,32.939073,13.084453
179,18/04/2022,18/04/2022,1692,78,52,3.030,Night,32.950862,13.104757
180,18/04/2022,18/04/2022,1692,77,34,1.020,Night,32.970550,13.139850
181,18/04/2022,18/04/2022,1692,76,45,2.040,Night,32.988298,13.143270
182,18/04/2022,18/04/2022,1692,77,32,1.020,Night,33.084197,13.196910
183,20/04/2022,20/04/2022,1692,76,21,0.710,Night,32.936238,13.082620
184,20/04/2022,20/04/2022,1692,77,60,7.000,Night,32.940665,13.096862
185,20/04/2022,20/04/2022,1692,76,30,1.020,Night,33.038510,13.169260
186,20/04/2022,20/04/2022,1692,76,36,1.020,Night,33.055390,13.177195
187,21/04/2022,21/04/2022,1692,71,34,1.020,Night,32.950902,13.104773
188,21/04/2022,21/04/2022,1692,75,35,1.010,Night,32.959242,13.120075
189,21/04/2022,21/04/2022,1692,77,33,1.020,Night,32.968827,13.135643
190,05/04/2022,05/04/2022,1694,75,36,1.010,Night,32.951957,13.105722
191,05/04/2022,05/04/2022,1694,76,37,1.010,Night,32.959770,13.121357
192,05/04/2022,05/04/2022,1694,77,34,1.020,Night,32.969310,13.136793
193,06/04/2022,06/04/2022,1696,74,32,1.010,Night,33.109555,13.100812
194,08/04/2022,08/04/2022,1694,76,35,1.000,Night,33.063190,13.149560
195,08/04/2022,08/04/2022,1694,73,24,0.790,Night,32.938065,13.083337
196,08/04/2022,08/04/2022,1694,77,49,2.020,Night,32.949013,13.102868
