FID,Shape,X,Y
246,Point,32.969729,13.142988
247,Point,32.969827,13.195265
248,Point,32.970146,13.128850
249,Point,32.970222,13.178839
250,Point,32.970234,13.126455
251,Point,32.970270,13.127146
252,Point,32.970313,13.129428
253,Point,32.970355,13.130942
254,Point,32.970418,13.132460
255,Point,32.970883,13.197440
256,Point,32.970932,13.196970
257,Point,32.971070,13.129320
258,Point,32.971074,13.130941
259,Point,32.971289,13.129297
260,Point,32.971585,13.042781
261,Point,32.971679,13.024795
262,Point,32.971717,13.177689
263,Point,32.972328,13.126030
264,Point,32.973681,13.132171
265,Point,32.973869,13.217094
266,Point,32.974099,13.089402
267,Point,32.974227,13.197048
268,Point,32.974320,13.070990
269,Point,32.974334,13.177908
270,Point,32.975458,13.058700
271,Point,32.975508,13.132049
272,Point,32.975680,13.069468
273,Point,32.976281,13.274236
274,Point,32.976437,13.260156
275,Point,32.976619,13.129693
276,Point,32.977089,13.069940
277,Point,32.978356,13.141367
278,Point,32.978554,13.142221
279,Point,32.979196,13.173249
280,Point,32.979212,13.030164
281,Point,32.979646,13.192684
282,Point,32.980077,13.172774
283,Point,32.980082,13.173101
284,Point,32.980906,13.192978
285,Point,32.981173,13.223077
286,Point,32.982942,13.128118
287,Point,32.983041,13.219753
288,Point,32.983222,13.219488
289,Point,32.983666,13.178268
290,Point,32.984191,13.192307
291,Point,32.986888,13.202626
292,Point,32.987014,13.132678
293,Point,32.987144,13.192357
294,Point,32.987197,13.036101
295,Point,32.987222,13.151164
296,Point,32.988267,13.118753
297,Point,32.988321,13.090523
298,Point,32.988612,13.118026
299,Point,32.988877,13.101924
300,Point,32.989806,13.187183
301,Point,32.991105,13.211685
302,Point,32.991519,13.210564
303,Point,32.992109,13.184659
304,Point,32.992639,13.122889
305,Point,32.993122,13.211915
306,Point,32.993359,13.121779
307,Point,32.993579,13.219991
308,Point,32.993609,13.212904
309,Point,32.993755,13.168486
310,Point,32.995916,13.206526
311,Point,32.996285,13.176780
312,Point,32.996307,13.174290
313,Point,32.996692,13.054467
314,Point,32.998937,13.068392
315,Point,32.999845,13.068443
316,Point,33.000230,13.076302
317,Point,33.000497,13.201259
318,Point,33.000995,13.104312
319,Point,33.001173,13.049784
320,Point,33.001179,13.078726
321,Point,33.001652,13.102303
322,Point,33.002074,13.103436
323,Point,33.002089,13.102327
324,Point,33.002193,13.095179
325,Point,33.002741,13.097674
326,Point,33.003085,13.093689
327,Point,33.003127,13.094679
328,Point,33.003189,13.096112
329,Point,33.003233,13.097135
330,Point,33.003256,13.097650
331,Point,33.003331,13.102448
332,Point,33.003349,13.149676
333,Point,33.003643,13.150758
334,Point,33.003762,13.093920
335,Point,33.003787,13.094660
336,Point,33.003813,13.096111
337,Point,33.003822,13.096584
338,Point,33.003832,13.097157
339,Point,33.003840,13.097623
340,Point,33.004491,13.161418
341,Point,33.004612,13.092649
342,Point,33.004662,13.102457
343,Point,33.004754,13.150675
344,Point,33.004777,13.099503
345,Point,33.004781,13.098469
346,Point,33.004785,13.100366
347,Point,33.004792,13.101333
348,Point,33.004793,13.101575
349,Point,33.004797,13.102416
350,Point,33.004797,13.103224
351,Point,33.004798,13.104025
352,Point,33.004803,13.097597
353,Point,33.004817,13.097047
354,Point,33.004825,13.096110
355,Point,33.004825,13.096570
356,Point,33.004849,13.094659
357,Point,33.004945,13.057736
358,Point,33.005044,13.101256
359,Point,33.005083,13.100366
360,Point,33.005121,13.099508
361,Point,33.005154,13.058201
362,Point,33.005274,13.058872
363,Point,33.005284,13.058201
364,Point,33.005288,13.059532
365,Point,33.005304,13.088032
366,Point,33.005340,13.057736
367,Point,33.005401,13.101632
368,Point,33.005410,13.101294
369,Point,33.005416,13.102256
370,Point,33.005434,13.100366
371,Point,33.005438,13.103178
372,Point,33.005483,13.062264
373,Point,33.005573,13.063763
374,Point,33.005575,13.060158
375,Point,33.005613,13.064217
376,Point,33.005709,13.062200
377,Point,33.005723,13.191433
378,Point,33.005746,13.063063
379,Point,33.005853,13.097530
380,Point,33.005861,13.098456
