FID,Start Time,End Time,Object,MAX_Speed,AVG_Speed,Distance,Shift,X,Y
172,13/04/2022,13/04/2022,1694,74,46,2.040,Morning,32.959905,13.121720
173,14/04/2022,14/04/2022,1694,72,18,0.590,Morning,32.936503,13.082650
174,14/04/2022,14/04/2022,1694,77,34,1.010,Morning,32.941187,13.099810
175,07/04/2022,07/04/2022,1696,72,27,0.900,Morning,32.940897,13.096350
176,07/04/2022,07/04/2022,1696,75,35,1.020,Morning,32.954288,13.107932
177,08/04/2022,08/04/2022,1696,77,43,2.020,Morning,32.948287,13.102180
178,09/04/2022,09/04/2022,1696,106,63,6.650,Morning,32.940583,13.097093
179,09/04/2022,09/04/2022,1696,77,54,0.950,Morning,32.985605,13.141968
180,09/04/2022,09/04/2022,1696,76,31,1.000,Morning,33.010163,13.155542
181,09/04/2022,09/04/2022,1696,79,34,1.000,Morning,33.024262,13.167235
182,09/04/2022,09/04/2022,1696,78,37,1.010,Morning,33.049135,13.173698
183,09/04/2022,09/04/2022,1696,78,37,1.020,Morning,33.065118,13.183295
184,09/04/2022,09/04/2022,1696,89,38,0.990,Morning,32.958748,13.115113
185,09/04/2022,09/04/2022,1696,82,33,1.020,Morning,32.950022,13.104753
186,10/04/2022,10/04/2022,1696,73,27,0.920,Morning,32.938967,13.084160
187,11/04/2022,11/04/2022,1696,72,35,1.010,Morning,32.949978,13.103793
188,11/04/2022,11/04/2022,1696,83,64,4.030,Morning,33.020908,13.129725
189,11/04/2022,11/04/2022,1696,73,31,1.010,Morning,33.036107,13.124117
190,11/04/2022,11/04/2022,1696,74,30,1.010,Morning,33.027110,13.117068
191,12/04/2022,12/04/2022,1696,72,27,0.900,Morning,32.938592,13.083848
192,12/04/2022,12/04/2022,1696,73,43,1.000,Morning,33.043608,13.137060
193,12/04/2022,12/04/2022,1696,127,32,0.990,Morning,32.996708,13.130437
194,13/04/2022,13/04/2022,1696,79,33,1.650,Morning,32.940422,13.098562
195,14/04/2022,14/04/2022,1696,78,36,1.720,Morning,32.927697,13.089043
196,14/04/2022,14/04/2022,1696,73,41,2.000,Morning,32.930183,13.112183
197,14/04/2022,14/04/2022,1696,74,35,1.000,Morning,32.950382,13.143103
198,20/04/2022,20/04/2022,1696,79,55,3.030,Morning,32.951952,13.105792
199,20/04/2022,20/04/2022,1696,77,34,1.020,Morning,32.969342,13.136977
