FID,FIELDNO,AREA_FED,Area_Sq_m,PERIMETER 
264,31201,18.300,76839.350,1332.368
265,31204,178.780,750858.360,4004.754
266,31203,177.560,745742.515,4132.973
267,31208,116.950,491196.090,3751.081
268,31209,231.090,970580.240,4790.862
269,31210,68.990,289756.355,2577.778
270,31211,167.410,703127.460,3412.208
271,31212,171.860,721797.440,3436.293
272,31213,63.930,268488.640,2239.486
273,31214,140.560,590338.280,3083.086
274,31215,184.420,774548.635,3873.776
275,31216,205.860,864616.025,4244.271
276,31205,226.760,952371.166,4289.528
277,31202,132.180,555148.151,3538.400
278,31206,223.380,938207.868,4323.764
279,31207,232.290,975615.184,4444.915
280,31312,212.600,892910.928,4165.757
281,31313,206.310,866492.794,4049.547
282,31317,255.910,1074816.960,4207.734
283,31302,185.450,778869.761,5353.232
284,31303,154.820,650257.126,4618.487
285,31304,175.140,735598.466,4603.351
286,31305,154.510,648925.424,4488.525
287,31306,127.810,536796.019,3493.318
288,31307,131.730,553252.022,3626.044
289,31308,99.770,419033.104,2759.406
290,31309,61.540,258464.416,2210.058
291,31310,59.830,251298.970,2002.797
292,31311,143.500,602717.405,3267.310
293,31314,232.880,978097.232,4033.518
294,31315,168.250,706670.944,3537.233
295,31316,188.320,790951.875,3632.726
296,31301,323.570,1358986.289,0.000
297,32101,207.350,870889.005,4527.565
298,32102,250.230,1050968.172,4849.270
299,32103,229.160,962486.421,4849.153
300,32104,87.400,367095.505,3218.161
301,32105,166.800,700549.326,3406.577
302,32106,59.090,248189.165,2331.716
303,32107,227.290,954609.915,5224.979
304,32108,203.100,853033.405,5176.681
305,32109,208.050,873816.755,5276.505
306,32110,231.310,971519.815,5350.301
307,32111,205.620,863587.026,5192.355
308,32112,187.200,786239.422,5228.037
309,32113,125.980,529120.130,3633.223
310,32114,159.990,671951.700,3584.821
311,32115,267.360,1122905.315,6044.807
312,32117,136.540,573454.595,3698.134
313,32116,180.970,760060.070,4085.243
314,32118,140.190,588785.286,3615.697
315,32119,142.440,598241.490,3791.880
316,32201,147.240,618402.785,3835.589
317,32202,198.840,835132.480,4104.667
318,32203,210.340,883420.510,4369.874
319,32204,231.710,973184.100,5058.790
320,32205,165.750,696166.275,5130.786
321,32206,147.810,620806.725,4855.262
322,32207,180.810,759381.420,4260.081
323,32208,158.810,667018.380,4067.396
324,32209,138.260,580677.440,3768.639
325,32210,106.080,445526.406,3582.531
326,32211,156.150,655810.120,3828.894
327,32212,161.050,676419.765,3748.448
328,32213,109.110,458243.590,3219.135
329,32214,97.160,408052.890,2707.895
330,32215,85.130,357537.320,2634.722
331,32216,114.480,480826.465,3611.529
332,32217,208.220,874538.525,4989.405
333,32218,241.090,1012560.913,5562.221
334,32219,210.950,886005.260,5442.409
335,32220,207.400,871087.945,5060.727
336,32221,176.940,743133.510,4616.440
337,32222,122.080,512751.680,4334.837
338,32223,184.250,773848.915,3438.563
339,32224,72.740,305503.730,2616.594
340,32225,135.870,570634.645,3566.696
341,32226,113.010,474650.750,3527.064
342,32311,195.210,819897.949,4041.728
343,32317,170.920,717879.636,3400.243
344,32312,194.630,817464.570,4075.201
345,32318,98.450,413503.709,2786.438
346,32319,72.170,303116.205,2378.299
347,32307,258.130,1084159.300,4921.065
348,32314,178.970,751679.444,4158.264
349,32316,131.500,552294.915,3049.078
350,32313,136.400,572894.515,3317.726
351,32305,197.450,829302.342,4326.770
352,32315,190.820,801462.032,3879.637
353,32306,192.800,809744.355,4219.768
354,32304,191.750,805342.285,4178.635
355,32310,170.620,716609.527,3675.020
356,32301,147.500,619495.175,0.000
357,32302,196.480,825209.591,0.000
358,32303,168.290,706822.315,0.000
359,32308,119.040,499966.796,0.000
360,32309,193.530,812841.135,0.000
361,31105,230.360,1036360.702,4694.023
362,41101,115.703,485954.247,2978.750
363,41102,143.463,602545.082,3581.480
364,41103,141.383,593806.774,4231.871
365,41104,170.398,715669.539,4657.333
366,41105,176.106,739645.670,4644.110
367,41106,260.059,1092248.729,4837.269
368,41107,126.604,531738.749,3988.850
369,41108,145.976,613099.446,3448.287
370,41109,115.766,486216.259,3334.629
371,41110,139.056,584036.880,3065.952
372,41111,149.153,626441.088,3368.133
373,41112,119.327,501171.715,2955.055
374,41113,97.472,409382.534,2750.965
375,41114,170.061,714257.241,3582.899
376,41115,117.609,493956.377,3625.432
